Date,School,Opponent
12/2/2015,UC-Davis,Sacramento State
12/2/2015,Charleston Southern,Winthrop
12/2/2015,Cincinnati,Butler
12/2/2015,Clemson,South Carolina Upstate
12/2/2015,Coastal Carolina,Auburn
12/2/2015,Colorado,Fort Lewis
12/2/2015,Connecticut,Sacred Heart
12/2/2015,Creighton,Arizona State
12/2/2015,Dartmouth,Vermont
12/2/2015,Denver,Wyoming
12/2/2015,Duke,Indiana
12/2/2015,Fordham,St. John's (NY)
12/2/2015,George Washington,Seton Hall
12/2/2015,Hawaii,Arkansas-Pine Bluff
12/2/2015,High Point,Longwood
12/2/2015,Houston,Murray State
12/2/2015,Houston Baptist,Rice
12/2/2015,Idaho,Cal State Bakersfield
12/2/2015,Illinois,Notre Dame
12/2/2015,Illinois-Chicago,DePaul
12/2/2015,Iowa,Florida State
12/2/2015,Jackson State,Fisk
12/2/2015,Jacksonville,Florida Memorial
12/2/2015,Kennesaw State,Florida A&M
12/2/2015,La Salle,Hofstra
12/2/2015,Lafayette,St. Francis (NY)
12/2/2015,Lamar,Texas-Rio Grande Valley
12/2/2015,Mercer,Hiwassee
12/3/2015,Abilene Christian,New Hampshire
12/3/2015,Alabama State,Auburn Montgomery
12/3/2015,Bethune-Cookman,Trinity Baptist
12/3/2015,Cal Poly,IPFW
12/3/2015,UC-Riverside,Northern Colorado
12/3/2015,UC-Santa Barbara,Southern California
12/3/2015,Colorado State,Long Beach State
12/3/2015,Delaware,South Florida
12/3/2015,Fresno State,Master's
12/3/2015,Grand Canyon,Central Michigan
12/3/2015,Incarnate Word,Dallas Christian
12/3/2015,James Madison,Western Michigan
12/3/2015,Long Island University,Massachusetts-Lowell
12/3/2015,Louisiana-Monroe,Louisiana-Lafayette
12/3/2015,Milwaukee,Southern Illinois-Edwardsville
12/3/2015,North Carolina Central,Mississippi Valley State
12/3/2015,Oklahoma,Central Arkansas
12/3/2015,Radford,Liberty
12/3/2015,Southern Utah,La Verne
12/3/2015,Texas-Arlington,North Texas
12/3/2015,UCLA,Kentucky
12/3/2015,Valparaiso,Belmont
12/3/2015,Western Carolina,Warren Wilson
12/3/2015,Wofford,Kentucky Christian
12/4/2015,Arkansas State,North Dakota State
12/4/2015,Canisius,Monmouth
12/4/2015,Columbia,Saint Joseph's
12/4/2015,East Carolina,South Carolina Upstate
12/4/2015,Fairfield,Rider
12/4/2015,Florida International,Elon
12/4/2015,Georgia,Kansas State
12/4/2015,Louisiana Tech,Jackson State
12/4/2015,Marist,Iona
12/4/2015,Marshall,Akron
12/4/2015,Maryland,Saint Francis (PA)
12/4/2015,Missouri,Northern Illinois
12/4/2015,Montana,San Francisco
12/4/2015,Niagara,Quinnipiac
12/4/2015,Old Dominion,Delaware State
12/4/2015,Pacific,UC-Irvine
12/4/2015,Saint Mary's (CA),UC-Davis
12/4/2015,Seattle,Cal State Fullerton
12/4/2015,Siena,Manhattan
12/4/2015,Southeastern Louisiana,Southern
12/4/2015,Southern Mississippi,Alabama
12/4/2015,Texas,Samford
12/4/2015,Wake Forest,Arkansas
12/4/2015,Wright State,Georgia State
12/4/2015,Youngstown State,American
12/4/2015,Pittsburgh,Duquesne
12/4/2015,Nevada-Las Vegas,Oregon
12/5/2015,Arizona State,Texas A&M
12/5/2015,Ball State,New Orleans
12/5/2015,Bowling Green State,Drake
12/5/2015,Bradley,North Dakota
12/5/2015,Brigham Young,Weber State
12/5/2015,Bryant,Brown
12/5/2015,Butler,Indiana State
12/5/2015,Cal Poly,Fresno State
12/5/2015,Cal State Bakersfield,Northern Arizona
12/5/2015,Cal State Northridge,Pepperdine
12/5/2015,Canisius,Quinnipiac
12/5/2015,Central Florida,Illinois-Chicago
12/5/2015,Citadel,College of Charleston
12/5/2015,Cleveland State,Kent State
12/5/2015,Coppin State,Hampton
12/5/2015,Cornell,Lafayette
12/5/2015,Dartmouth,Hartford
12/5/2015,Dayton,North Florida
12/5/2015,Denver,Air Force
12/5/2015,DePaul,Chicago State
12/5/2015,Detroit Mercy,Northeastern
12/5/2015,Duke,Buffalo
12/5/2015,Eastern Illinois,Northern Kentucky
12/5/2015,Florida A&M,South Carolina State
12/5/2015,Fordham,Central Connecticut State
12/5/2015,Gardner-Webb,High Point
12/5/2015,George Mason,Pennsylvania
12/5/2015,Georgetown,Syracuse
12/5/2015,Gonzaga,Arizona
12/5/2015,Holy Cross,Albany (NY)
12/5/2015,Idaho,Arkansas-Little Rock
12/5/2015,Illinois,Western Carolina
12/5/2015,Illinois State,Alabama-Birmingham
12/5/2015,Indiana,Morehead State
12/5/2015,Iowa,Missouri-Kansas City
12/5/2015,IUPUI,Miami (OH)
12/5/2015,Jacksonville State,Jacksonville
12/5/2015,Kansas,Harvard
12/5/2015,La Salle,Drexel
12/5/2015,Lamar,Idaho State
12/5/2015,Lehigh,Rochester (MI)
12/5/2015,Liberty,Charleston Southern
12/5/2015,Lipscomb,Tennessee Tech
12/5/2015,Long Beach State,New Mexico State
12/5/2015,Longwood,Maryland-Baltimore County
12/5/2015,Louisville,Grand Canyon
12/5/2015,Loyola (IL),Creighton
12/5/2015,Marquette,Maine
12/5/2015,Massachusetts,Mississippi
12/5/2015,Memphis,Southeast Missouri State
12/5/2015,Mercer,Alcorn State
12/5/2015,Miami (FL),Charlotte
12/5/2015,Michigan,Houston Baptist
12/5/2015,Michigan State,Binghamton
12/5/2015,Middle Tennessee,South Alabama
12/5/2015,Minnesota,South Dakota
12/5/2015,Mount St. Mary's,Loyola (MD)
12/5/2015,Murray State,Evansville
12/5/2015,Nebraska,Abilene Christian
12/5/2015,Nicholls State,Loyola (LA)
12/5/2015,NJIT,Massachusetts-Lowell
12/5/2015,North Carolina-Asheville,Johnson & Wales (NC)
12/5/2015,North Carolina A&T,Howard
12/5/2015,North Carolina Central,Maryland-Eastern Shore
12/5/2015,North Carolina State,Bucknell
12/5/2015,North Texas,Southern Illinois
12/5/2015,Northwestern,Southern Illinois-Edwardsville
12/5/2015,Ohio State,Virginia Military Institute
12/5/2015,Oklahoma State,Missouri State
12/5/2015,Oregon State,Nevada
12/5/2015,Penn State,Eastern Michigan
12/5/2015,Portland,Boise State
12/5/2015,Purdue,New Mexico
12/5/2015,Rhode Island,Providence
12/5/2015,Rice,St. Edward's
12/5/2015,Richmond,Northern Iowa
12/5/2015,Robert Morris,Oakland
12/5/2015,Rutgers,Seton Hall
12/5/2015,Saint Louis,Wichita State
12/5/2015,Santa Clara,San Jose State
12/5/2015,Savannah State,Eastern Kentucky
12/5/2015,South Carolina,South Florida
12/5/2015,Southern Methodist,New Hampshire
12/5/2015,St. Bonaventure,Ohio
12/5/2015,Stephen F. Austin,Texas Southern
12/5/2015,Stony Brook,Princeton
12/5/2015,Tennessee State,Stetson
12/5/2015,Texas A&M-Corpus Christi,Texas State
12/5/2015,Texas Christian,Colgate
12/5/2015,Texas-El Paso,Texas-Arlington
12/5/2015,Towson,Sacred Heart
12/5/2015,Troy,Austin Peay
12/5/2015,Tulane,Georgia Tech
12/5/2015,Tulsa,Oral Roberts
12/5/2015,Utah,IPFW
12/5/2015,Utah Valley,Southern Utah
12/5/2015,Virginia,William & Mary
12/5/2015,Virginia Tech,Arkansas-Pine Bluff
12/5/2015,West Virginia,Kennesaw State
12/5/2015,Winthrop,Presbyterian
12/5/2015,Wisconsin,Temple
12/5/2015,Wyoming,University of California
12/5/2015,Xavier,Western Kentucky
12/5/2015,Yale,Vermont
12/6/2015,Baylor,Vanderbilt
12/6/2015,Boston College,Massachusetts-Lowell
12/6/2015,Cincinnati,Morgan State
12/6/2015,Clemson,Wofford
12/6/2015,Coastal Carolina,Radford
12/6/2015,Colorado State,Colorado
12/6/2015,Columbia,Delaware
12/6/2015,Eastern Washington,Great Falls
12/6/2015,Florida International,Florida Gulf Coast
12/6/2015,Green Bay,Toledo
12/6/2015,James Madison,Marshall
12/6/2015,Loyola Marymount,UC-Riverside
12/6/2015,Manhattan,Marist
12/6/2015,Montana State,Nebraska-Omaha
12/6/2015,Niagara,Monmouth
12/6/2015,North Carolina,Davidson
12/6/2015,Pittsburgh,Central Arkansas
12/6/2015,Saint Mary's (CA),UC-Irvine
12/6/2015,Saint Peter's,Siena
12/6/2015,Sam Houston State,Sul Ross State
12/6/2015,Seattle,Mississippi Valley State
12/6/2015,Southern Mississippi,North Dakota State
12/6/2015,St. John's (NY),St. Francis (NY)
12/6/2015,Texas-Rio Grande Valley,Angelo State
12/6/2015,UCLA,Long Beach State
12/6/2015,Wagner,American
12/6/2015,Washington,Cal State Fullerton
12/6/2015,Washington State,Portland State
12/6/2015,Florida State,Virginia Commonwealth
12/6/2015,Hofstra,Appalachian State
12/6/2015,San Diego,San Diego State
12/7/2015,Bethune-Cookman,South Carolina State
12/7/2015,Butler,Virginia Military Institute
12/7/2015,Central Michigan,Aquinas
12/7/2015,College of Charleston,East Carolina
12/7/2015,Coppin State,Norfolk State
12/7/2015,Georgetown,Brown
12/7/2015,Iowa,Western Illinois
12/7/2015,Iowa State,Buffalo
12/7/2015,Kennesaw State,Thomas University
12/7/2015,Lipscomb,Belmont
12/7/2015,NJIT,Kent State
12/7/2015,North Carolina A&T,Maryland-Eastern Shore
12/7/2015,North Carolina Central,Howard
12/7/2015,Oakland,Binghamton
12/7/2015,Presbyterian,Montreat
12/7/2015,Purdue,IUPUI
12/7/2015,Sacramento State,Incarnate Word
12/7/2015,San Diego State,Biola
12/7/2015,San Francisco,Cal State Northridge
12/7/2015,Southern California,Idaho
12/7/2015,Western Michigan,Northeastern
12/7/2015,Oregon,Navy
12/7/2015,Oklahoma,Villanova
12/8/2015,Arkansas,Evansville
12/8/2015,Baylor,Northwestern State
12/8/2015,Boston University,Harvard
12/8/2015,Bryant,Army
12/8/2015,Central Florida,Massachusetts
12/8/2015,Chattanooga,Tennessee Wesleyan
12/8/2015,Citadel,Voorhees
12/8/2015,Duquesne,Maryland-Baltimore County
12/8/2015,Eastern Michigan,Rochester (MI)
12/8/2015,Fordham,Long Island University
12/8/2015,Furman,Liberty
12/8/2015,George Mason,Northern Iowa
12/8/2015,George Washington,Penn State
12/8/2015,Georgia,Winthrop
12/8/2015,Gonzaga,Montana
12/8/2015,Grand Canyon,Southern
12/8/2015,Hawaii,Hawaii-Hilo
12/8/2015,Louisiana Tech,Louisiana State-Shreveport
12/8/2015,Loyola (MD),Towson
12/8/2015,Marquette,San Jose State
12/8/2015,Miami (FL),Florida
12/8/2015,Minnesota,South Dakota State
12/8/2015,Mount St. Mary's,Bucknell
12/8/2015,New Hampshire,Worcester State
12/8/2015,Notre Dame,Stony Brook
12/8/2015,Ohio State,Air Force
12/8/2015,Portland,Idaho State
12/8/2015,Rhode Island,Houston
12/8/2015,Rider,Wagner
12/8/2015,Rutgers,Central Connecticut State
12/8/2015,Saint Joseph's,Princeton
12/8/2015,South Dakota,Missouri-Kansas City
12/8/2015,Southeast Missouri State,Bowling Green State
12/8/2015,Southern Methodist,Michigan
12/8/2015,St. Bonaventure,Vermont
12/8/2015,Stephen F. Austin,Henderson State
12/8/2015,Syracuse,Colgate
12/8/2015,Texas,Texas-San Antonio
12/8/2015,Texas-Arlington,Bradley
12/8/2015,Tulsa,Iona
12/8/2015,Washington,Texas Christian
12/8/2015,Xavier,Wright State
12/8/2015,Maryland,Connecticut
12/8/2015,Virginia,West Virginia
12/9/2015,Arizona,Fresno State
12/9/2015,Boise State,Loyola Marymount
12/9/2015,Brigham Young,Utah State
12/9/2015,University of California,Incarnate Word
12/9/2015,Charlotte,Campbell
12/9/2015,Coastal Carolina,North Carolina Wesleyan
12/9/2015,Colorado State,Arkansas-Fort Smith
12/9/2015,Creighton,Nebraska
12/9/2015,Davidson,Eastern Washington
12/9/2015,Detroit Mercy,Toledo
12/9/2015,Drake,DePaul
12/9/2015,Hartford,Quinnipiac
12/9/2015,High Point,North Carolina-Greensboro
12/9/2015,Illinois,Yale
12/9/2015,Indiana,IPFW
12/9/2015,Indiana State,Valparaiso
12/9/2015,Kansas,Holy Cross
12/9/2015,Kansas State,Coppin State
12/9/2015,Kentucky,Eastern Kentucky
12/9/2015,Lafayette,Fairleigh Dickinson
12/9/2015,Louisiana-Lafayette,McNeese State
12/9/2015,Maine,Dartmouth
12/9/2015,Manhattan,Columbia
12/9/2015,Marist,Albany (NY)
12/9/2015,Marshall,Eastern Illinois
12/9/2015,Michigan State,Maryland-Eastern Shore
12/9/2015,Missouri,Nebraska-Omaha
12/9/2015,Nevada,Fresno Pacific
12/9/2015,Northern Colorado,York (NE)
12/9/2015,Oral Roberts,John Brown
12/9/2015,Pennsylvania,Temple
12/9/2015,Pepperdine,Long Beach State
12/9/2015,Providence,Boston College
12/9/2015,Purdue,Howard
12/9/2015,Radford,Virginia Tech
12/9/2015,San Diego,Denver
12/9/2015,Siena,Hofstra
12/9/2015,Southern Illinois,Southern Illinois-Edwardsville
12/9/2015,St. John's (NY),Niagara
12/9/2015,Texas Tech,Tennessee-Martin
12/9/2015,Utah Valley,Weber State
12/9/2015,Vanderbilt,Dayton
12/9/2015,Wichita State,Nevada-Las Vegas
12/9/2015,Wisconsin,Milwaukee
12/10/2015,Colgate,Utica
12/10/2015,East Tennessee State,Milligan
12/10/2015,Florida Atlantic,Ave Maria
12/10/2015,Idaho,Washington State
12/10/2015,Iowa State,Iowa
12/10/2015,Kent State,Louisiana-Monroe
12/10/2015,Lipscomb,Cumberland
12/10/2015,Massachusetts-Lowell,Boston University
12/10/2015,Missouri State,IUPUI
12/10/2015,Penn State,Canisius
12/10/2015,San Diego State,Nicholls State
12/10/2015,Seton Hall,Troy
12/10/2015,St. Francis (NY),NJIT
12/10/2015,Wyoming,Southern
12/11/2015,Chicago State,Valparaiso
12/11/2015,North Dakota,North Dakota State
12/11/2015,Pittsburgh,Eastern Washington
12/11/2015,South Carolina Upstate,North Greenville
12/11/2015,Texas Christian,Prairie View
12/11/2015,Texas-Rio Grande Valley,Tennessee-Martin
12/12/2015,Abilene Christian,Schreiner
12/12/2015,Air Force,Army
12/12/2015,Akron,Bethune-Cookman
12/12/2015,Arkansas,Tennessee Tech
12/12/2015,Arkansas State,Arkansas-Monticello
12/12/2015,Ball State,Pepperdine
12/12/2015,Boise State,Oregon
12/12/2015,Buffalo,Binghamton
12/12/2015,Butler,Tennessee
12/12/2015,Cal State Fullerton,Loyola Marymount
12/12/2015,University of California,Saint Mary's (CA)
12/12/2015,UC-Riverside,Nevada-Las Vegas
12/12/2015,Central Florida,Florida Atlantic
12/12/2015,Central Michigan,Texas Southern
12/12/2015,Charleston Southern,Rider
12/12/2015,Cleveland State,Ohio
12/12/2015,Colorado,Brigham Young
12/12/2015,Columbia,NJIT
12/12/2015,Connecticut,Ohio State
12/12/2015,Creighton,IUPUI
12/12/2015,Davidson,Western Carolina
12/12/2015,Dayton,Chattanooga
12/12/2015,DePaul,Arkansas-Little Rock
12/12/2015,Detroit Mercy,Bowling Green State
12/12/2015,Evansville,Mississippi Valley State
12/12/2015,Florida A&M,Samford
12/12/2015,Fresno State,Pacific
12/12/2015,Furman,Gardner-Webb
12/12/2015,George Washington,Rutgers
12/12/2015,Georgetown,North Carolina-Wilmington
12/12/2015,Georgia State,Old Dominion
12/12/2015,Gonzaga,UCLA
12/12/2015,Hartford,Holy Cross
12/12/2015,Hawaii,Hawaii Pacific
12/12/2015,Houston Baptist,Arlington Baptist
12/12/2015,Howard,Radford
12/12/2015,Idaho State,Utah Valley
12/12/2015,Indiana,McNeese State
12/12/2015,IPFW,Austin Peay
12/12/2015,Jackson State,Blue Mountain College
12/12/2015,James Madison,George Mason
12/12/2015,Kent State,Canisius
12/12/2015,Kentucky,Arizona State
12/12/2015,Liberty,Lamar
12/12/2015,Lipscomb,Princeton
12/12/2015,Long Beach State,Tampa
12/12/2015,Louisiana Tech,Louisiana-Lafayette
12/12/2015,Louisville,Eastern Michigan
12/12/2015,Marist,Delaware
12/12/2015,Marshall,Eastern Kentucky
12/12/2015,Maryland,Maryland-Eastern Shore
12/12/2015,Maryland-Baltimore County,Mount St. Mary's
12/12/2015,Memphis,Manhattan
12/12/2015,Michigan,Delaware State
12/12/2015,Michigan State,Florida
12/12/2015,Middle Tennessee,Auburn
12/12/2015,Missouri-Kansas City,Mississippi State
12/12/2015,Nevada,Drake
12/12/2015,New Mexico,Northern Iowa
12/12/2015,New Orleans,Williams Baptist
12/12/2015,Niagara,Long Island University
12/12/2015,North Carolina-Greensboro,Belmont Abbey
12/12/2015,North Florida,Coastal Georgia
12/12/2015,Northeastern,Stony Brook
12/12/2015,Oklahoma,Oral Roberts
12/12/2015,Penn State,Louisiana-Monroe
12/12/2015,Portland,Sacramento State
12/12/2015,Providence,Bryant
12/12/2015,Purdue,Youngstown State
12/12/2015,Richmond,Longwood
12/12/2015,Sacred Heart,Lafayette
12/12/2015,Saint Francis (PA),Duquesne
12/12/2015,Saint Louis,Alabama A&M
12/12/2015,Santa Clara,Pacific Union
12/12/2015,Siena,Albany (NY)
12/12/2015,South Carolina State,Jacksonville
12/12/2015,South Dakota,Cal State Bakersfield
12/12/2015,Southeast Missouri State,Mississippi
12/12/2015,Southern Illinois,North Texas
12/12/2015,Southern Illinois-Edwardsville,Portland State
12/12/2015,Southern Utah,Bristol University
12/12/2015,Stanford,Dartmouth
12/12/2015,Stephen F. Austin,Arkansas Tech
12/12/2015,Texas,North Carolina
12/12/2015,Texas A&M,Kansas State
12/12/2015,Texas-San Antonio,Texas A&M-Corpus Christi
12/12/2015,Toledo,Oakland
12/12/2015,Utah State,UC-Irvine
12/12/2015,Virginia Military Institute,Navy
12/12/2015,Washington,Montana
12/12/2015,Western Illinois,Eastern Illinois
12/12/2015,Western Michigan,Marygrove
12/12/2015,Wichita State,Utah
12/12/2015,Wisconsin,Marquette
12/12/2015,Xavier,Cincinnati
12/12/2015,Illinois,Illinois-Chicago
12/12/2015,Kansas,Oregon State
12/12/2015,Oklahoma State,Minnesota
12/12/2015,Tennessee State,Grambling
12/13/2015,Alabama-Birmingham,Seattle
12/13/2015,Arizona,Missouri
12/13/2015,Boston College,Maine
12/13/2015,Clemson,Alabama
12/13/2015,Colgate,New Hampshire
12/13/2015,College of Charleston,North Greenville
12/13/2015,Denver,Weber State
12/13/2015,East Carolina,North Carolina A&T
12/13/2015,Elon,Wesley
12/13/2015,Florida Gulf Coast,Massachusetts
12/13/2015,Florida State,Southeastern Louisiana
12/13/2015,Fordham,Coppin State
12/13/2015,Grand Canyon,Nebraska-Omaha
12/13/2015,High Point,Virginia Wise
12/13/2015,Houston,Louisiana State
12/13/2015,Illinois State,Murray State
12/13/2015,Iowa State,Arkansas-Pine Bluff
12/13/2015,Jacksonville State,Alabama State
12/13/2015,Miami (OH),Wright State
12/13/2015,Milwaukee,Judson
12/13/2015,Missouri State,Tulsa
12/13/2015,Monmouth,Wagner
12/13/2015,Nebraska,Rhode Island
12/13/2015,New Mexico State,Wyoming
12/13/2015,North Carolina-Asheville,Campbell
12/13/2015,Northern Colorado,Colorado State
12/13/2015,Northern Kentucky,Norfolk State
12/13/2015,Northwestern,Chicago State
12/13/2015,Notre Dame,Loyola (IL)
12/13/2015,Pittsburgh,Morehead State
12/13/2015,Quinnipiac,Boston University
12/13/2015,San Jose State,Montana State
12/13/2015,Seton Hall,Saint Peter's
12/13/2015,South Dakota State,UC-Santa Barbara
12/13/2015,South Florida,North Carolina State
12/13/2015,Southern,Ecclesia
12/13/2015,Southern California,Yale
12/13/2015,Temple,Saint Joseph's
12/13/2015,Texas State,Texas-Rio Grande Valley
12/13/2015,Villanova,La Salle
12/13/2015,Virginia Tech,Lamar
12/13/2015,Washington State,Texas-El Paso
12/13/2015,West Virginia,Louisiana-Monroe
12/13/2015,Western Kentucky,Indiana State
12/13/2015,St. John's (NY),Syracuse
12/14/2015,Alcorn State,Blue Mountain College
12/14/2015,Cal State Bakersfield,Dartmouth
12/14/2015,Charleston Southern,Columbia International
12/14/2015,Columbia,Robert Morris
12/14/2015,Gonzaga,Saint Martin's
12/14/2015,Hartford,Sacred Heart
12/14/2015,Manhattan,St. Francis (NY)
12/14/2015,Marshall,North Carolina Central
12/14/2015,Navy,South Carolina Upstate
12/14/2015,North Florida,Florida International
12/14/2015,North Texas,Nicholls State
12/14/2015,Saint Mary's (CA),Cal Poly
12/14/2015,Sam Houston State,Le Tourneau
12/14/2015,South Alabama,Southern Mississippi
12/14/2015,Stetson,Tennessee State
12/14/2015,Tulane,Prairie View
12/14/2015,Western Carolina,Eastern Washington
12/14/2015,Wofford,Coastal Carolina
12/15/2015,Auburn,Mercer
12/15/2015,Belmont,Ouachita
12/15/2015,Binghamton,Saint Francis (PA)
12/15/2015,Chattanooga,Tennessee Tech
12/15/2015,Cincinnati,Norfolk State
12/15/2015,Clemson,Presbyterian
12/15/2015,Duke,Georgia Southern
12/15/2015,Eastern Kentucky,Florida Atlantic
12/15/2015,Florida A&M,Southeastern Louisiana
12/15/2015,Georgetown,Monmouth
12/15/2015,Georgia Tech,Virginia Commonwealth
12/15/2015,Grand Canyon,Delaware State
12/15/2015,Green Bay,Pacific
12/15/2015,Houston Baptist,UC-Riverside
12/15/2015,Incarnate Word,Our Lady of the Lake
12/15/2015,Memphis,Southern
12/15/2015,Miami (OH),Jackson State
12/15/2015,Michigan,Northern Kentucky
12/15/2015,Mississippi,Louisiana Tech
12/15/2015,Montana,Great Falls
12/15/2015,North Carolina-Asheville,East Tennessee State
12/15/2015,Northwestern,Mississippi Valley State
12/15/2015,Ohio,Ohio Dominican
12/15/2015,Oklahoma State,Longwood
12/15/2015,Oregon,UC-Irvine
12/15/2015,San Diego,UC-Davis
12/15/2015,Santa Clara,Arkansas-Pine Bluff
12/15/2015,South Carolina,Drexel
12/15/2015,Stanford,DePaul
12/15/2015,Texas,Appalachian State
12/15/2015,UCLA,Louisiana-Lafayette
12/15/2015,Wake Forest,North Carolina-Greensboro
12/15/2015,Wisconsin,Texas A&M-Corpus Christi
12/15/2015,Youngstown State,Geneva
12/16/2015,Alabama,Winthrop
12/16/2015,Alabama-Birmingham,South Carolina Upstate
12/16/2015,Arizona,Northern Arizona
12/16/2015,Baylor,Hardin-Simmons
12/16/2015,Bethune-Cookman,Citadel
12/16/2015,Campbell,Johnson & Wales (NC)
12/16/2015,Central Arkansas,Arkansas-Little Rock
12/16/2015,Duquesne,South Carolina State
12/16/2015,East Carolina,North Carolina-Wilmington
12/16/2015,Elon,Alabama State
12/16/2015,Florida State,Mississippi State
12/16/2015,Fresno State,Cal State Bakersfield
12/16/2015,Furman,Bluefield College (VA)
12/16/2015,Houston,North Carolina Central
12/16/2015,Illinois-Chicago,Illinois State
12/16/2015,Indiana State,Illinois-Springfield
12/16/2015,Iona,Texas Southern
12/16/2015,Louisiana State,Gardner-Webb
12/16/2015,Louisville,Kennesaw State
12/16/2015,Loyola (IL),Cleveland State
12/16/2015,Massachusetts,New Orleans
12/16/2015,McNeese State,Louisiana State-Alexandria
12/16/2015,Minnesota,Chicago State
12/16/2015,Missouri State,Oral Roberts
12/16/2015,Nebraska-Omaha,Simpson
12/16/2015,Nevada-Las Vegas,Arizona State
12/16/2015,New Mexico,New Mexico State
12/16/2015,North Carolina,Tulane
12/16/2015,North Carolina State,High Point
12/16/2015,North Dakota State,Montana State
12/16/2015,North Florida,Austin Peay
12/16/2015,Northern Colorado,Denver
12/16/2015,Ohio State,Northern Illinois
12/16/2015,Prairie View,Texas State
12/16/2015,Richmond,Old Dominion
12/16/2015,Saint Louis,Tennessee-Martin
12/16/2015,Saint Mary's (CA),Southern Utah
12/16/2015,South Florida,Jacksonville
12/16/2015,Southern Methodist,Nicholls State
12/16/2015,Stetson,Albany State (GA)
12/16/2015,Tennessee,Florida Atlantic
12/16/2015,Texas-San Antonio,East Central
12/16/2015,Texas Tech,South Dakota State
12/16/2015,Utah,Savannah State
12/16/2015,Vermont,UC-Santa Barbara
12/16/2015,Western Kentucky,Alabama A&M
12/17/2015,American,Stony Brook
12/17/2015,Bradley,Maryville (MO)
12/17/2015,Evansville,Norfolk State
12/17/2015,Middle Tennessee,Belmont
12/17/2015,Milwaukee,South Dakota
12/17/2015,North Carolina A&T,Grambling
12/17/2015,North Dakota,Valley City State
12/17/2015,North Texas,Mississippi Valley State
12/17/2015,Ohio,Jackson State
12/17/2015,Portland State,Cal State Northridge
12/17/2015,Princeton,Liberty
12/17/2015,Rice,St. Thomas (TX)
12/17/2015,Robert Morris,Lehigh
12/17/2015,Southern California,Cal Poly
12/17/2015,Southern Methodist,Hampton
12/17/2015,Tennessee State,Lipscomb
12/17/2015,Wright State,Charleston Southern
12/17/2015,Troy,Paine
12/17/2015,Seattle,Northwest Indian College
12/17/2015,West Virginia,Marshall
12/18/2015,Abilene Christian,UC-Riverside
12/18/2015,Brigham Young,Central Michigan
12/18/2015,UC-Irvine,Chapman
12/18/2015,Central Connecticut State,Massachusetts-Lowell
12/18/2015,Chattanooga,Kennesaw State
12/18/2015,Clemson,South Carolina
12/18/2015,Colorado,Nicholls State
12/18/2015,East Tennessee State,Eastern Kentucky
12/18/2015,Fairfield,Wagner
12/18/2015,Fairleigh Dickinson,Towson
12/18/2015,Gardner-Webb,Warren Wilson
12/18/2015,Idaho,New Hope Christian
12/18/2015,Lamar,Jarvis Christian
12/18/2015,Long Island University,Sam Houston State
12/18/2015,Louisiana-Monroe,Central Baptist
12/18/2015,Louisiana Tech,Southern
12/18/2015,Loyola Marymount,Jacksonville State
12/18/2015,Memphis,Mississippi
12/18/2015,Murray State,Southern Illinois
12/18/2015,Nevada,Santa Clara
12/18/2015,Old Dominion,Maryland-Eastern Shore
12/18/2015,Oregon,Long Beach State
12/18/2015,Pepperdine,Louisiana-Lafayette
12/18/2015,Samford,South Alabama
12/18/2015,San Diego State,Grand Canyon
12/18/2015,San Francisco,Coppin State
12/18/2015,St. John's (NY),Incarnate Word
12/18/2015,Tennessee-Martin,Arkansas State
12/18/2015,Tennessee Tech,Miami (OH)
12/18/2015,Wake Forest,Coastal Carolina
12/18/2015,Washington State,Texas State
12/18/2015,William & Mary,Mary Washington
12/18/2015,Oregon State,Cal State Fullerton
12/18/2015,Weber State,Portland
12/19/2015,Albany (NY),Saint Francis (PA)
12/19/2015,Appalachian State,Charlotte
12/19/2015,Arizona,Nevada-Las Vegas
12/19/2015,Arizona State,Houston Baptist
12/19/2015,Boston College,Delaware
12/19/2015,Buffalo,Montana State
12/19/2015,Cal State Bakersfield,Menlo
12/19/2015,University of California,Coppin State
12/19/2015,UC-Davis,Air Force
12/19/2015,Campbell,Citadel
12/19/2015,Canisius,Boston University
12/19/2015,Chicago State,Western Illinois
12/19/2015,Cleveland State,Belmont
12/19/2015,Colorado,Hampton
12/19/2015,Dayton,Furman
12/19/2015,DePaul,Northwestern
12/19/2015,Detroit Mercy,Central Florida
12/19/2015,Duquesne,Robert Morris
12/19/2015,Elon,North Carolina-Greensboro
12/19/2015,Florida Gulf Coast,South Dakota State
12/19/2015,Fordham,Maine
12/19/2015,George Mason,Longwood
12/19/2015,George Washington,Saint Peter's
12/19/2015,Georgetown,North Carolina-Asheville
12/19/2015,Georgia,Georgia Tech
12/19/2015,Georgia Southern,Winthrop
12/19/2015,Houston,Eastern Illinois
12/19/2015,Howard,Maryland-Baltimore County
12/19/2015,Illinois,South Dakota
12/19/2015,IPFW,Stetson
12/19/2015,IUPUI,Southern Utah
12/19/2015,Kansas,Montana
12/19/2015,Lehigh,Mount St. Mary's
12/19/2015,Louisiana State,Oral Roberts
12/19/2015,Louisville,Western Kentucky
12/19/2015,Loyola (IL),Illinois-Chicago
12/19/2015,Miami (FL),College of Charleston
12/19/2015,Michigan,Youngstown State
12/19/2015,Mississippi State,Tulane
12/19/2015,Missouri,North Carolina State
12/19/2015,Missouri-Kansas City,Rockhurst
